reward, length,actions
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,p
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,a
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
1.0,1,t
